date,summ,Квартира,s1,Харчування,s2,Транспорт,s3,Інтернет,s4,Мобільний звязок,s5,Одежа,s6,Медикаменти,s7,Покупка техніки,s8,Відпочинок і подорожі,s9,Подарунки и дні народження,s10,Інше,s11,Автомобіль,s12,Навчання,s13,Дохід,s14
30-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сентябрь,,,"440,00",,"151,72",,"0,00",,"15,80",,"11,88",,"1,98",,"21,40",,"0,00",,"59,60",,"42,03",,"20,56",,"75,61",,,,
1-окт.-2014,,,,Lidl,"28,80",Vlak,"26,40",,,,,,,,,,,,,,,,,,,,,,971
2-окт.-2014,,,,,,Autobus,"3,20",,,,,,,,,,,,,,,,,,,,,,
3-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-окт.-2014,,,,,,,,UPC,"15,80",,,,,,,,,,,,,,,,,,,,
7-окт.-2014,,,,Lidl,"1,56",,,,,,,,,,,,,,,,,Preklady,"133,94",,,,,,
8-окт.-2014,,,,,,,,,,,,,,,,,,,,,,Lavor + Alpa,"4,99",,,,,,
9-окт.-2014,,,,Lidl,"8,53",,,,,,,,,,,,,,,,,,,,,,,,
10-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-окт.-2014,,,,Terno,"1,53",,,,,,,,,,,,,,,,,,,,,,,,
12-окт.-2014,,,,Tesco,"17,00",,,,,,,Topanky Julia,"24,90",,,,,,,,,,,,,,,,
13-окт.-2014,,,,Lidl,"6,00",MHD,"4,00",,,,,,,,,,,,,,,,,,,,,,
14-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-окт.-2014,,,,Caj,"4,60",,,,,,,,,,,,,,,,,,,,,,,,
16-окт.-2014,,,,Billa,"2,60",,,,,,,,,,,,,,,,,,,,,,,,
17-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-окт.-2014,,,,Lidl,"3,87",,,,,,,,,,,,,,,Lidl Olesia DN,"4,98",,,,,,,,
19-окт.-2014,,,,,,,,,,,,,,,,,,,,,,Yoga Karimat,"15,00",,,,,,
20-окт.-2014,,,,Obed,"4,20",,,,,,,,,,,,,,,,,,,,,,,,
21-окт.-2014,,,,Lidl,"14,36",,,,,,,,,,,,,,,,,,,,,,,,
22-окт.-2014,,Najomne,"440,00",,,,,,,,,,,,,,,,,,,,,,,,,,
23-окт.-2014,,,,obedy Myroslav,"20,00",ICK karta,"32,20",,,,,,,,,,,,,,,,,,,,,,
24-окт.-2014,,,,Potraviny,"4,00",,,,,,,,,,,,,Party,"30,00",,,,,,,,,,
25-окт.-2014,,,,Lidl,"7,34",,,,,,,,,,,,,,,,,,,,,,,,
26-окт.-2014,,,,Billa,"11,94",,,,,,,Tricka,"4,00",,,,,,,,,Colgate + ustna voda,"6,86",,,,,,
27-окт.-2014,,,,Lidl,"4,78",,,,,,,,,,,,,,,,,,,,,,,,
28-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-окт.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-окт.-2014,,,,TESCO,"8,73",,,,,,,,,,,,,,,,,,,,,,,,
31-окт.-2014,,,,Billa,"4,52",,,,,,,,,,,,,,,,,,,,,,,,
Октябрь,,,"440,00",,"154,36",,"65,80",,"15,80",,"0,00",,"28,90",,"0,00",,"0,00",,"30,00",,"4,98",,"160,79",,"0,00",,,,
1-нояб.-2014,,,,TESCO,"60,41",,,,,,,KIKA,"7,49",,,,,,,,,Carrefour,"14,06",Umyvanie,"4,17",,,,1321
2-нояб.-2014,,,,Lidl,"6,12",,,,,,,,,,,,,,,,,,,,,,,,
3-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-нояб.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-нояб.-2014,,,,,,,,,,,,Kobat + Nohavice,"19,17",,,,,,,,,,,,,,,,
